RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
0.02,57.06979,56.06251,[M+H]+,FALSE,,,,,,468,[],TRUE,354,764,456,476,616,460,464,468,814,636,452,558,0
0.26,57.06979,112.12502,[M+H+H]2+,FALSE,,,,,,0,[],TRUE,0,0,0,706,0,0,0,0,0,0,0,0,0
0.48,57.06979,56.06251,[M+H]+,FALSE,,,,,,0,[],TRUE,474,0,1416,0,414,0,0,0,0,0,454,0,0
19.85,57.06979,56.06252,[M+H]+,TRUE,,C4H8,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,0,0,1554,0,0,754,724,0,890,840,0,0,0
0.24,57.0698,56.06252,[M+H]+,FALSE,,,,,,676,[],TRUE,446,622,446,0,570,734,766,676,684,772,720,636,822
1.17,57.06986,56.06259,[M+H]+,FALSE,,C4H8,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,368,[],TRUE,328,294,368,0,574,396,0,490,546,0,0,1020,652
4.89,57.06996,112.12536,[M+H+H]2+,FALSE,,,,,,200,[],TRUE,120,88,202,120,302,290,252,184,800,106,200,196,218
0.06,57.06999,112.12543,[M+H+H]2+,FALSE,,,,,,0,[],TRUE,0,0,0,0,0,0,0,94,0,0,0,0,710
12.44,57.933,56.92573,[M+H]+,TRUE,,,,,,1976,[],TRUE,2226,1976,2100,2172,1870,1792,2464,1876,1904,2146,2086,1926,1942
0.07,57.93457,56.92729,[M+H]+,FALSE,,,,,,1342,[],TRUE,776,1324,1612,1202,1342,1876,1248,1750,1788,1232,1710,1662,1320
19.79,57.93457,56.92729,[M+H]+,TRUE,,,,,,63740,[],TRUE,60956,63028,66534,63326,65768,63740,62148,63978,102474,51712,66130,60766,68096
