"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","G1","G10","G11","G12","G13","G14","G15","G17","G18","G19","G2","G21","G22","G23","G4","G5","G6","G7","G8","G9","NP"
"FT0035",91.0534315257873,91.0533435440339,91.0535876580071,855.84326171875,850.687744140625,860.270935058594,62,2,2,4,3,3,2,5,5,4,2,3,2,2,4,1,4,2,2,3,3,1
"FT0036",96.9600530396082,96.9599034656017,96.9602057556132,14.4088449478149,12.3373289108276,25.5951118469238,63,5,3,4,4,3,2,4,3,1,3,3,4,4,4,5,2,4,2,1,1,0
"FT0037",97.9679108484848,97.9677694961687,97.9992957063158,1138.57885742188,1128.69543457031,1142.75994140625,53,1,5,4,0,4,1,2,2,3,3,2,3,3,4,3,1,0,2,5,3,2
"FT0038",98.9833144088135,98.9831939553892,98.9834865071041,45.6519145965576,40.849853515625,50.0436477661133,74,4,5,2,4,2,0,4,3,1,3,4,4,4,5,5,5,4,5,3,5,2
"FT0039",98.9833505380511,98.9831680047449,98.9835041596501,747.871887207031,740.8603515625,753.032104492188,51,5,5,5,3,3,2,1,0,0,0,4,0,1,1,3,1,2,1,4,5,0
"FT0040",98.9833188810173,98.983228667418,98.9834314411043,59.4680938720703,55.5109443664551,73.570671081543,46,1,0,4,1,0,2,0,4,2,0,0,2,4,0,1,2,3,1,5,2,5
"FT0041",100.074837051241,100.074667176703,100.075138802214,264.392578125,258.260559082031,270.110961914062,69,5,5,4,4,3,2,4,3,2,3,4,4,3,4,4,4,2,1,3,3,2
"FT0042",101.095222300271,101.095053743454,101.095373743161,430.785247802734,426.759368896484,432.632629394531,59,5,5,4,0,2,3,2,4,2,0,3,2,4,0,5,4,2,1,3,5,3
"FT0043",101.095298754317,101.095175193415,101.095416659827,992.916137695312,984.696533203125,1000.34454345703,32,1,0,1,1,1,2,1,4,5,2,1,0,3,0,0,2,1,2,3,0,0
"FT0044",101.095280423276,101.09513878829,101.095412600771,974.126983642578,966.525756835938,982.136596679688,20,1,0,0,1,0,1,0,4,1,0,2,0,0,0,0,2,2,1,2,2,1
"FT0045",102.126819753081,102.05391028652,102.127008834344,42.992733001709,35.0254821777344,47.6509094238281,132,4,5,5,5,4,5,5,5,5,5,4,5,5,5,2,5,5,5,5,5,5
"FT0046",107.048249765389,107.048123384351,107.048412731501,564.278106689453,560.257141113281,569.093322753906,104,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
"FT0047",107.069375659015,107.069226010344,107.069566074057,430.746490478516,427.033935546875,435.952606201172,101,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5
"FT0048",107.069385557609,107.069162485629,107.069584205928,722.77099609375,716.433288574219,726.810668945312,63,2,4,3,4,3,4,5,5,5,4,1,3,5,4,0,3,0,1,0,3,4
"FT0049",107.048247273776,107.048073562393,107.048449402432,458.294052124023,455.496734619141,461.183288574219,36,0,2,4,1,0,5,3,4,5,0,1,0,1,0,0,2,1,0,3,1,3
