RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
18.05,89.02437,90.03165,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,1130,[],TRUE,846,1128,1376,1512,1130,1104,826,842,886,1340,1322,1228,1298
18.96,89.02437,90.03165,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,972,[],TRUE,1212,986,892,814,924,1080,938,864,1030,1054,894,1328,972
18.49,89.02441,90.03169,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,1096,[],TRUE,1234,878,926,920,1092,1294,1322,1032,1338,1182,1096,1030,2308
17.58,89.02445,90.03172,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,,830,[],TRUE,640,746,862,652,942,830,608,1906,990,854,756,1290,670
1.38,91.91223,92.91951,[M-H]-,TRUE,,,,,,564,[],TRUE,210,400,344,590,478,490,808,794,620,458,588,564,638
13.15,92.92576,93.93304,[M-H]-,TRUE,,,,,,1358,[],TRUE,2916,1398,1480,1358,1010,1298,1148,1502,1566,1372,1288,1328,1304
17.81,92.92785,93.93512,[M-H]-,TRUE,,,,,,1886,[],TRUE,1906,2298,2384,1860,1730,1740,1570,2010,1752,1886,2174,2460,1712
18.49,92.92795,93.93522,[M-H]-,TRUE,,,,,,1946,[],TRUE,1990,1850,1502,1946,2244,1946,2064,1746,2124,1780,1828,1806,3784
19.73,92.92796,93.93524,[M-H]-,TRUE,,,,,,2362,[],TRUE,2522,1524,1910,2578,1738,3854,2712,2284,2362,2156,2398,1948,4276
18.3,92.928,93.93528,[M-H]-,TRUE,,,,,,2016,[],TRUE,1752,1630,2016,1838,1984,1722,2100,2024,2132,2572,2270,2316,1596
19.73,94.92425,95.93153,[M-H]-,TRUE,,,,,,1574,[],TRUE,1710,888,1160,1520,1744,1574,1784,1238,888,1986,1444,1728,2818
17.29,94.92476,95.93203,[M-H]-,TRUE,,,,,,1180,[],TRUE,1256,1772,1156,1022,1158,1206,1256,1108,1048,1092,1180,1180,1366
13.44,94.92498,95.93226,[M-H]-,TRUE,,,,,,866,[],TRUE,728,748,994,866,2174,1530,918,866,850,1024,848,754,1098
18.49,94.925,95.93227,[M-H]-,TRUE,,,,,,1448,[],TRUE,1118,1346,1562,1340,1552,1096,1184,1946,1670,1362,1448,1474,2372
15.43,94.92503,95.93231,[M-H]-,TRUE,,,,,,980,[],TRUE,906,914,1310,2194,980,748,954,1046,980,1194,892,1136,992
18.12,94.92503,95.93231,[M-H]-,TRUE,,,,,,1354,[],TRUE,1012,1254,1456,1354,1356,1698,1342,1260,1144,1872,1804,1494,1124
3.45,96.95998,97.96726,[M-H]-,TRUE,,,,,,634,[],TRUE,92,628,768,828,530,864,516,466,644,784,640,588,634
19.6,97.9309,98.93818,[M-H]-,TRUE,,,,,,882,[],TRUE,1114,1018,882,942,790,874,762,1078,1090,1098,816,870,684
19.41,97.93119,98.93847,[M-H]-,TRUE,,,,,,750,[],TRUE,620,862,666,694,944,944,750,706,750,810,698,900,630
19.39,98.93844,99.94572,[M-H]-,TRUE,,,,,,1230,[],TRUE,1468,1318,1060,1488,1122,978,1060,1230,1458,1130,1512,1218,1358
19.61,98.93911,99.94639,[M-H]-,TRUE,,,,,,1418,[],TRUE,1290,1168,1200,1050,1626,1490,1466,1718,1418,1396,2184,1384,1800
19.64,99.9255,100.93277,[M-H]-,TRUE,,,,,,10652,[],TRUE,10702,0,11084,0,0,11216,10652,10482,10938,0,11132,10706,10154
0.48,99.92569,100.93297,[M-H]-,FALSE,,,,,,520,[],TRUE,386,570,412,462,414,452,592,544,502,520,770,574,588
19.06,99.92571,100.93299,[M-H]-,TRUE,,,,,,7152,[],TRUE,7062,7546,7876,6852,8130,6872,7278,7262,7152,0,6782,6788,7316
19.39,99.92572,302.79898,[M-H-H2]3-,TRUE,,,,,,0,[],TRUE,0,0,0,0,9270,0,0,0,0,0,0,0,0
2.96,99.92573,100.933,[M-H]-,TRUE,,,,,,488,[],TRUE,0,478,480,436,744,450,752,504,644,488,540,430,512
17.39,99.92574,100.93302,[M-H]-,TRUE,,,,,,3470,[],TRUE,2720,3232,3096,3586,3566,3422,3386,3538,3470,3586,3332,4592,4030
18.49,99.92574,100.93302,[M-H]-,TRUE,,,,,,4778,[],TRUE,4028,4930,5212,4952,4778,5176,4214,4722,5178,4398,4578,4286,8790
3.66,99.92574,100.93302,[M-H]-,FALSE,,,,,,568,[],TRUE,596,568,388,442,772,750,628,660,550,532,564,600,536
3.33,99.92578,100.93306,[M-H]-,FALSE,,,,,,502,[],TRUE,0,456,582,512,502,424,488,468,578,532,458,816,578
19.36,99.92579,100.93307,[M-H]-,TRUE,,,,,,8864,[],TRUE,8140,9266,8994,9528,0,8848,8488,8454,9596,8118,10004,9520,8864
